Wall time,Step,Value
1744939911.5156415,4,-2.5784900188446045
1744939970.019268,14,-2.2807700634002686
1744939976.0115736,15,-2.351830005645752
1744939993.9762113,18,-2.4047000408172607
1744939999.9756935,19,-2.246190071105957
1744940018.3127935,22,-1.6782000064849854
1744940042.677633,26,-1.0723899602890015
1744940048.762654,27,-1.0086100101470947
1744940127.6323302,40,-0.32622000575065613
1744940168.0485916,47,-0.052799999713897705
1744940173.8252466,48,-0.03043000027537346
1744940179.562038,49,0.002739999908953905
1744940208.2185547,54,0.15668000280857086
1744940254.3125005,62,0.28240999579429626
1744940260.055157,63,0.3164600133895874
1744940277.3878906,66,0.34751999378204346
1744940283.1813927,67,0.3785099983215332
1744940300.6028976,70,0.4045799970626831
1744940306.4599645,71,0.41971999406814575
1744940342.0410225,77,0.45041999220848083
1744940371.893198,82,0.512719988822937
1744940414.690432,89,0.5697199702262878
1744940477.9392579,99,0.602400004863739
1744940503.1005101,103,0.6660100221633911
1744940522.5161943,106,0.6286699771881104
1744940528.9430752,107,0.6251400113105774
1744940587.328633,116,0.6925600171089172
1744940620.6603963,121,0.6961299777030945
1744940647.4691155,125,0.7267199754714966
1744940654.202593,126,0.7257300019264221
1744940667.8329382,128,0.714739978313446
1744940681.3504226,130,0.7210699915885925
1744940721.8043213,136,0.7748299837112427
1744940728.5356867,137,0.8105300068855286
1744940775.0566254,144,0.8366699814796448
1744940788.2594144,146,0.8304799795150757
1744940794.9648216,147,0.8353099822998047
1744940815.1031644,150,0.8787199854850769
1744940861.5182214,157,0.8801000118255615
1744940880.894443,160,0.8771499991416931
1744940894.1128058,162,0.8556699752807617
1744940907.5667853,164,0.8900700211524963
1744940956.1161788,171,0.8443800210952759
1744940962.8768778,172,0.8255500197410583
1744940997.0651374,177,0.8514000177383423
1744941045.2136242,184,0.8390600085258484
1744941052.2137756,185,0.8466399908065796
1744941059.0957098,186,0.8586000204086304
1744941086.3460617,190,0.9031500220298767
1744941093.1931708,191,0.9112300276756287
1744941100.2125773,192,0.9180799722671509
1744941148.6919026,199,0.9645699858665466
1744941169.417614,202,0.9701700210571289
1744941176.2333646,203,0.9770900011062622
1744941183.0347137,204,0.9763299822807312
1744941189.7113607,205,0.9736700057983398
1744941203.240538,207,0.9792400002479553
1744941230.23304,211,0.9278600215911865
1744941243.7644966,213,0.9416900277137756
1744941257.173843,215,0.9852200150489807
1744941290.5658424,220,0.9922699928283691
1744941297.1076994,221,0.9955099821090698
1744941316.2393756,224,0.9326300024986267
1744941347.1407733,229,0.8995000123977661
1744941445.2133691,244,0.7793300151824951
1744941451.601497,245,0.8279899954795837
1744941458.104809,246,0.8823400139808655
1744941536.5286024,258,1.0029200315475464
1744941542.9092793,259,1.0143799781799316
1744941549.308872,260,1.0038399696350098
1744941621.3651898,271,0.917460024356842
1744941641.3966165,274,0.972350001335144
1744941654.406106,276,0.9699299931526184
1744941667.5018172,278,0.9314000010490417
1744941693.9185467,282,0.9271199703216553
1744941713.6636193,285,0.945580005645752
1744941733.3272843,288,0.9269999861717224
1744941746.0401516,290,0.9556499719619751
1744941777.7317295,295,0.8724700212478638
1744941790.4291196,297,0.8586699962615967
1744941796.8573136,298,0.8736299872398376
1744941849.5263307,306,0.7976099848747253
1744941862.8978918,308,0.8146799802780151
1744941889.599676,312,0.8847000002861023
1744941915.6457596,316,0.9460499882698059
1744941928.441445,318,0.9593999981880188
1744941934.7287743,319,0.9656199812889099
1744941953.7251592,322,0.9708300232887268
1744942052.8792462,337,0.8459399938583374
1744942059.3735104,338,0.8352400064468384
1744942091.2632487,343,0.8701900243759155
1744942104.6595047,345,0.9022799730300903
1744942111.2115223,346,0.9102100133895874
1744942150.129296,352,0.9605500102043152
1744942163.1315815,354,0.9762399792671204
1744942189.0031674,358,0.9699000120162964
1744942230.5881193,364,0.8545600175857544
1744942237.6261554,365,0.8633400201797485
1744942244.5611706,366,0.8898699879646301
1744942251.3848073,367,0.914139986038208
1744942322.874944,378,0.9265599846839905
1744942375.6192377,386,0.8747699856758118
1744942401.2080572,390,0.9563999772071838
1744942413.9932325,392,0.9492800235748291
1744942446.0933807,397,0.95455002784729
1744942477.925287,402,0.9566400051116943
1744942490.9091718,404,0.9495199918746948
1744942562.0915272,415,0.9918199777603149
1744942600.6734333,421,0.9394099712371826
1744942607.1924608,422,0.9343299865722656
1744942633.661885,426,0.9813799858093262
1744942697.2092981,436,0.9462900161743164
1744942703.8730912,437,0.9219599962234497
1744942717.3660228,439,0.9117400050163269
1744942743.8998203,443,0.9357200264930725
1744942750.3638573,444,0.9611600041389465
1744942763.0954857,446,1.0238300561904907
1744942788.4499257,450,0.9814500212669373
1744942800.893391,452,1.0071899890899658
1744942826.107147,456,0.8176000118255615
1744942858.0637176,461,0.8921999931335449
1744942882.9656901,465,1.0374900102615356
1744942901.331822,468,1.054260015487671
1744942913.6236408,470,1.0527399778366089
1744942938.2403722,474,1.0220099687576294
1744942944.4484382,475,1.000980019569397
1744942976.5055027,480,0.9021000266075134
1744942982.9164538,481,0.9050300121307373
1744943021.462695,487,0.8846200108528137
1744943034.412449,489,0.8992400169372559
1744943065.8686616,494,0.8945199847221375
1744943089.9155908,498,0.9299899935722351
1744943158.3506317,509,0.7602099776268005
1744943164.4901912,510,0.7195299863815308
1744943170.6478808,511,0.6819300055503845
1744943176.8351893,512,0.7429400086402893
1744943183.0447998,513,0.7885900139808655
1744943189.1972284,514,0.8773099780082703
1744943207.510042,517,0.9321200251579285
1744943213.776757,518,0.9059500098228455
1744943220.042696,519,0.9245200157165527
1744943308.2366147,533,0.8838199973106384
1744943314.7155619,534,0.8648399710655212
1744943327.4785163,536,0.8937900066375732
1744943333.8759747,537,0.8857499957084656
1744943340.2343054,538,0.8650699853897095
1744943352.8432357,540,0.8633000254631042
1744943377.673253,544,0.9488700032234192
1744943390.1429605,546,0.8464300036430359
1744943415.0879438,550,0.8967099785804749
1744943427.1418083,552,1.0912799835205078
1744943451.3921635,556,1.009469985961914
1744943487.9788127,562,1.0216100215911865
1744943500.0588427,564,1.037619948387146
1744943524.3195813,568,0.89096999168396
1744943554.656061,573,0.8084800243377686
1744943620.78647,584,0.9326599836349487
1744943627.0212588,585,0.780239999294281
1744943645.9994926,588,0.8584399819374084
1744943659.252822,590,0.8172199726104736
1744943665.5329235,591,0.7948499917984009
1744943683.6201997,594,0.6678500175476074
1744943695.4103897,596,0.6842799782752991
1744943739.5789456,603,0.6394699811935425
1744943769.8110623,608,0.5642399787902832
1744943801.2849393,613,0.7681000232696533
1744943807.5084465,614,0.7879999876022339
1744943856.7786517,622,0.8786699771881104
1744943862.9442394,623,0.8951699733734131
1744943881.4036372,626,0.9829000234603882
1744943893.865793,628,1.0371400117874146
1744943900.078661,629,1.039389967918396
1744943924.9936693,633,1.0239200592041016
1744943949.9339652,637,0.9183599948883057
1744943986.9422977,643,1.0262099504470825
1744943993.0960817,644,1.0006599426269531
1744944023.666677,649,0.9592199921607971
1744944036.1530163,651,0.9043300151824951
1744944061.5532336,655,0.8958799839019775
1744944080.1091566,658,0.9157400131225586
1744944092.4370065,660,0.90038001537323
1744944135.5778565,667,0.8468700051307678
1744944154.3056827,670,0.8861600160598755
1744944184.8198807,675,0.8581399917602539
1744944191.055427,676,0.8803799748420715
1744944215.5993097,680,0.8888400197029114
1744944240.190975,684,0.858680009841919
1744944290.5994039,692,0.9072399735450745
1744944303.0072818,694,0.8952699899673462
1744944315.5237892,696,0.8225700259208679
1744944321.7925587,697,0.8331199884414673
1744944353.0901692,702,0.8228899836540222
1744944403.42814,710,0.9496600031852722
1744944434.5114434,715,0.9443100094795227
1744944471.6819956,721,0.9415199756622314
1744944484.0298142,723,0.9322199821472168
1744944496.4618566,725,0.9045100212097168
1744944502.6432002,726,0.8868700265884399
1744944514.8361876,728,0.8349000215530396
1744944520.94386,729,0.7931900024414062
1744944533.1140907,731,0.8128499984741211
1744944539.177085,732,0.8438100218772888
1744944545.3157191,733,0.8710200190544128
1744944576.5103652,738,0.9339100122451782
1744944613.8517258,744,0.9450600147247314
1744944738.896633,764,0.7834299802780151
1744944745.1353421,765,0.7820299863815308
1744944787.7267597,772,0.8057399988174438
1744944805.6922715,775,0.7654500007629395
1744944811.7915916,776,0.7684500217437744
1744944824.09116,778,0.7870200276374817
1744944836.4703043,780,0.808139979839325
1744944848.6482627,782,0.8198800086975098
1744944884.9256308,788,0.8812599778175354
1744944986.1591263,804,0.8554800152778625
1744944992.4043036,805,0.8571299910545349
1744945005.2779796,807,0.7482100129127502
1744945024.449887,810,0.7113199830055237
1744945077.1468456,818,0.7108399868011475
1744945083.486621,819,0.8113899827003479
1744945139.9390118,828,0.9600399732589722
